TTB Product Class/Type Codes Reference
=======================================
Source: TTB COLAs Online - Product Class/Type Lookup

Code   Description
605    SLOE GIN
610    CORDIALS (HERBS & SEEDS)
611    ANISETTE, OUZO, OJEN
612    COFFEE (CAFE) LIQUEUR
616    AMARETTO
617    SAMBUCA
620    CORDIALS (CREMES OR CREAMS)
627    DAIRY CREAM LIQUEUR/CORDIAL
640    SPECIALTIES & PROPRIETARIES
649    OTHER SPECIALTIES & PROPRIETARIES
650-699  IMPORTED CORDIALS & LIQUEURS (same sub-categories)

=== COCKTAILS & MIXED DRINKS ===
700-719  COCKTAILS 48 PROOF UP (MANHATTAN, OLD FASHIONED, SOUR, MARGARITA, MARTINI, DAIQUIRI, etc.)
720-739  COCKTAILS UNDER 48 PROOF (same sub-categories)
740-749  MIXED DRINKS/HI-BALLS (SCREWDRIVER, COLLINS, BLOODY MARY, EGG NOG, etc.)
750-799  IMPORTED COCKTAILS (same structure)

=== WINE ===
80     TABLE RED WINE
80A    ROSE WINE
81     TABLE WHITE WINE
82     TABLE FLAVORED WINE
82C    APPLE BASED FLAVORED WINE
82M    HONEY BASED TABLE WINE
83     TABLE FRUIT WINE
83C    APPLE TABLE WINE/CIDER
84     SPARKLING WINE/CHAMPAGNE
84C    SPARKLING WINE/CIDER
84M    SPARKLING WINE/MEAD
85     CARBONATED WINE
85C    CARBONATED WINE/CIDER
86     VERMOUTH/MIXED TYPES
87     DESSERT FLAVORED WINE
87C    APPLE BASED DESSERT FLAVORED WINE
87M    HONEY BASED DESSERT WINE
88     DESSERT/PORT/SHERRY/(COOKING) WINE
89     DESSERT FRUIT WINE
89C    APPLE DESSERT WINE/CIDER

=== MALT BEVERAGES ===
900    MALT BEVERAGES
901    BEER
902    ALE
903    MALT LIQUOR
904    STOUT
905    PORTER
906    MALT BEVERAGES SPECIALITIES - FLAVORED
907    CEREAL BEVERAGES - NEAR BEER (NON ALCOHOLIC)
908    IRC BEER
909    OTHER MALT BEVERAGES (BEER)
950-959  IMPORTED MALT BEVERAGES (same sub-categories)

=== OTHER SPIRITS ===
920    OTHER SPIRITS
921    NEUTRAL SPIRITS - GRAIN
926    BITTERS - BEVERAGE
928    GRAIN SPIRITS
931    SAKE
943    AGAVE SPIRITS
970-989  IMPORTED OTHER SPIRITS (NEUTRAL, TEQUILA FB/USB, MEZCAL, SAKE, AGAVE, FLAVORED variants)
990    NON ALCOHOL MIXES

=== ADMINISTRATIVE ===
0/00/000  ADMINISTRATIVE WITHDRAWAL
